"row_type","cmu_category","is_one_to_one","note"
"play","Run / Pass / Punt Rec / Extra Pt.(?) / FG(?)","NO","Splits by the play_type column proposed in play_type_inventory.csv: rush/kneel -> Run (kneel mapping unconfirmed -- CMU may log it separately); pass_complete/pass_incomplete/pass_intercepted -> Pass; punt_with_return/punt_no_return/punt_blocked -> Punt Rec (CMU's single punt category, per game-1 decode -- unconfirmed whether blocked punts get their own value); field_goal_good/missed/blocked -> no confirmed CMU category yet, field goals were not decoded from game 1 (CMU schema section only lists KO, Pass, Run, Penalty, Punt Rec, Extra Pt.) -- needs a CMU game with a made or missed FG to confirm the category string."
"kickoff","KO","yes","CMU includes kickoffs as rows with NA down/ytg/field_pos (see CLAUDE.md); our kickoff row_type keeps that behavior."
"extra_point","Extra Pt.","yes","Includes made, missed, and blocked PAT kicks -- CMU's decoded play_result values (Good, etc.) presumably capture the outcome sub-detail, not a separate category."
"two_point","two-point (proposed, not yet confirmed)","unconfirmed","CLAUDE.md's decoded game-1 category list has no two-point value because game 1 had no two-point tries. 9 tries now observed across games 3,6,7,8,9,11 (see play_type_inventory work) -- need to check CMU's actual sheet for what they call this category before finalizing."
"penalty_no_play","Penalty","yes","Matches CLAUDE.md's decoded mapping directly. Per the penalty convention CLAUDE.md already decided, CMU drops these rows entirely from their data (no row, no yardage) -- our has_penalty/penalty_yards/penalty_text columns (step 4, not yet built) exist to explain mismatches this causes."
"drive_start","N/A -- not a play row","N/A","Administrative/metadata row. CMU logs one row per play only; drive_start rows are dropped before comparison, not mapped."
"drive_header","N/A -- not a play row","N/A","""TEAM at MM:SS"" header row, dropped before comparison."
"drive_footer","N/A -- not a play row","N/A","""N plays, Y yards, MM:SS elapsed"" summary row, dropped before comparison."
"quarter","N/A -- not a play row","N/A","Quarter start/end markers (also the bare ""1st""/""2nd""/... labels). Feeds the quarter forward-fill (step 3), not a play_category value itself."
"score","N/A -- not a play row","N/A","""TEAM #, TEAM #"" running score line, dropped before comparison."
"timeout","N/A -- not a play row","N/A","Dropped before comparison."
"coin_toss","N/A -- not a play row","N/A","Dropped before comparison."
"spot_correction","N/A -- not a play row","N/A","""TEAM ball on X19."" -- dropped before comparison, but may matter for field_pos sanity-checking later."
"bare_clock","N/A -- not a play row","N/A","""clock 02:00."" marker with no other content. Kept as a distinct row_type (not merged into a generic admin bucket) because it may need special handling once down/distance parsing exists."
"down_distance_echo","N/A -- not a play row","N/A","Bare ""2nd and 25."" echo after penalty enforcement, no ""at"" clause. Confirmed (see prior session) that it does not cause any down to be double-counted. Kept distinct for the same reason as bare_clock."
"replay_review","N/A -- not a play row","N/A","""previous play upheld by review"" -- dropped before comparison."
"substitution","N/A -- not a play row","N/A","""TEAM_PLAYER in at QB"" -- dropped before comparison."
"nav","N/A -- not a play row","N/A","Page navigation cruft (""back to top"", ""Quarters: 1st | 2nd | 3rd | 4th""). Dropped before comparison."
"other","N/A -- unknown bucket","N/A","Should always be empty (0 rows across all 11 games as of this analysis). If a row ever lands here it means a new row shape appeared and classify.R needs a new rule -- it is not a row type to map."
